id,name,TrackingID
20130,AuroraNaperville,NULL
20130,CadilacofNaperville2015,
20130,CadillacofNaperville,NULL
20130,CadillacofNapervilleCSL,
20130,CONCarousel,
20130,CONIBV,
20130,JolietWest,NULL
20130,Oakbrook,NULL
20130,SingleSecureTagCadillacNaperville,NULL
20130,WheatonStCharles,NULL
20131,FamilyHyundai,NULL
20131,FamilyHyundaiAS,NULL
20132,AlPiemonteStCharlesDodgeChryslerJeep,NULL
20133,LexusofNaperville,NULL
20134,GoodingConstruction1,NULL
20134,GoodingConstruction2,NULL
20134,GoodingConstruction3,NULL
20135,NissanofSouthHollan,NULL
20135,NissanofSouthHollandSOUTHSuburban,NULL
20136,AdvantageChevroletofHodgkins,NULL
20136,AdvantageChevyHodgkinsAS3,NULL
20137,AdvantageChevroletofBolingbrook,NULL
20137,AdvantageChevyBolingbrookAS3,NULL
20138,TerrysAutomotiveGroup,NULL
20139,BMWofSchererville,NULL
20140,AuroraNaperville,NULL
20140,Bloomingdale,NULL
20140,Elgin,NULL
20140,StCharlesToyota,NULL
20140,WheatonStCharles,NULL
20141,FriendlyFord,NULL
20142,GrossingerAutoplex,NULL
20143,WillowbrookFordKia,NULL
20144,BillJacobsJoliet,NULL
20145,AlringtonHeightsFordRollingMeadows,
20145,AlringtonHeightsFordRollingMeadows2,
20145,ArlingtonHeightsFordSchaumburg,
20145,ArlingtonHtsFord,
20145,Barrington,
20145,Barrington2,
20145,MtProspect,
20145,MtProspect2,
20146,LakeShoreMotors,NULL
20146,LakeShoreMotorsNew,
20146,LakeShoreMotorsPorterIN,NULL
20146,SouthLake,
20149,AutobahnMotors,NULL
20150,FrankiesAutoSales,NULL
20150,xfinityFrankie300x250Classic,
20151,FrankiesAutoSales,NULL
20152,Frankfort,NULL
20152,OakBrook,NULL
20152,OakPark,NULL
20152,OrlandPark,NULL
20152,RizzaCarscom,NULL
20152,SouthSuburban,NULL
20153,MidtownToyota,NULL
20154,broke,NULL
20154,clickopentest,NULL
20154,Detroit,NULL
20155,TestDallasListHub,NULL
20156,ChicagoCentral,NULL
20156,ChicagoSouth,NULL
20156,KingdomChevrolet,NULL
20157,ChicagoCentral,NULL
20157,ChicagoSouth,NULL
20157,WesternAvenueNissan,NULL
20158,OakLawnToyota,NULL
20159,GalarzaMotorSportLTD,NULL
20160,HondaofJoliet,NULL
20161,VolvoofLisle,NULL
20162,EdVoylesHonda,NULL
20163,ThreeOaksFord,NULL
20164,WebbFord,NULL
20165,BettenhausenMotorSales,NULL
20167,MazuIsACat,NULL
20167,TwoTwentyTwo1,NULL
20168,ValentiMotors,NULL
20169,AL87021,NULL
20169,AL87025,NULL
20169,AL87029,NULL
20169,IBVMiddletownMTAL70225,NULL
20169,IBVMiddletownMTAL70260,NULL
20169,IBVMiddletownMTAL70277,NULL
20169,IBVMiddletownSept13MTAL70434,NULL
20169,IBVMiddletownToyotaFirstTimeBuyers,NULL
20169,IBVMiddletownToyotaSellsforLess,NULL
20169,IBVMiddletownUsedClearanceAUGUST,NULL
20169,IBVMidToyNEEDACHEAPO,NULL
20169,IBVMTJANGUD0766ANewOpportunities011513AL140827,NULL
20169,IBVMTJANGUD0766B6mos6K011513AL140830,NULL
20169,IBVMTJANGUD0767ANewOpportunitiesALT1011513AL141089,NULL
20169,IBVMTJANGUD0767BNewOpportunitiesALT2011513AL141091,NULL
20169,MiddletownMegaClearanceAUGUST,NULL
20169,MiddletownSEPT4th,NULL
20169,MiddletownToyota,NULL
20169,MiddTOYAL87017,NULL
20169,MidToyJULYCLEARANCE,NULL
20169,MTAL104285NoLemonNOV,NULL
20169,MTAL106205EmployeePricing,NULL
20169,MTAL106206EmployeePricingAlt1,NULL
20169,MTAL106210EmployeePricingAlt2,NULL
20169,MTAL122310DecSpot,NULL
20169,MTAL122440DecSpotAlt1,NULL
20169,MTAL122452DecSpotAlt2,NULL
20169,smallerVideo,NULL
20169,USEDAL87022,NULL
20170,CourtneyHonda,NULL
20172,MontesiVolkswagen,NULL
20172,MontesiVW,
20173,BranhavenChryJeepDodge,NULL
20173,BranhavenChryslerJeepDodge,NULL
20174,TorringtonHonda,NULL
20175,WhalingCityMotors,NULL
20176,BarberinoNissan,NULL
20177,AcuraofAvon,NULL
20178,AcuraofMillford,NULL
20179,WestbrookHonda,NULL
20180,LorensenToyotaScion,NULL
20181,HondaofWatertown,NULL
20182,OldSaybrookChryslerDodgeJeep,NULL
20183,WestGermanBMW,NULL
20184,StephenAutoMall,NULL
20186,PlazaFord,NULL
20189,DonMcGillKaty160x600,NULL
20189,DonMcGillToyotaofKaty,NULL
20189,IBVDonMcGillKATY,NULL
20189,IBVNoExp160,NULL
20190,300x250AS3,
20190,DonMcGillHouston160x600,NULL
20190,DonMcGillToyota,NULL
20190,DonMcGillToyotaHouston160Nonexpand,
20190,DonMcGillToyotaHoustonAS3,NULL
20190,IBVDonMcGillToyota,
20191,JD1,NULL
20192,JD2,NULL
20193,KSTU,NULL
20194,Test1,NULL
20194,test2,NULL
20195,300x250Classic,NULL
20195,KTVO,NULL
20196,Ryan1,NULL
20196,test1,NULL
20196,test10,NULL
20196,test11,NULL
20196,test2,NULL
20196,test3,NULL
20196,test4,NULL
20196,test6,NULL
20196,test7,NULL
20196,test9,NULL
20197,MillenniumAudi,NULL
20198,160nonexp,
20198,300x250IBV,NULL
20198,RonCarter300x250SecureAS3,
20198,RonCarterToyota,NULL
20198,RonCarterToyota350FOXNEWS,NULL
20198,RonCarterToyota728x90FOXNEWS,NULL
20199,Banner1,NULL
20199,Tag2,NULL
20200,BernadettePillar,NULL
20201,Test2,NULL
20202,CloneWars,NULL
20202,HarborSprings,NULL
20202,HomeRepairTest,_BL84b5c37__
20202,IAmARobot,NULL
20202,IBVOnlyTest,
20202,ibvtest,NULL
20202,PotassiumBanana,NULL
20202,ppd,NULL
20202,test,
20202,ThreePointSixLaunc,NULL
20202,TwoSixteenDecember,NULL
20202,TwoThirtySeven,
20202,TwoTwentyTwo1,NULL
20202,WaitingOnAFriend,NULL
20203,Tag1,NULL
20204,160x600NonExpandLegacyFord,
20204,300x250Fox,
20204,ATT160x600,
20204,ATT300x250Classic,
20204,ATT300x250IBV,
20204,ATT300x250NonFlashIBV,_BLa8170ae__
20204,Fox160x600,
20204,Fox300x250IBV,
20204,IBVLegacyFord,
20204,LegacyFord,
20204,LegacyFord160x600,
20204,LegacyFord728,
20204,LegacyFordClassicAS3,
20204,Xfinity160x600,
20205,ClearLakeNissan,NULL
20205,ClearLakeNissan160Nonexpand,NULL
20205,ClearLakeNissan160x600,NULL
20205,ClearLakeNissanAS3,NULL
20206,BaywayLincoln160x600,NULL
20206,BaywayLincolnMercury,NULL
20207,160Wide,
20207,FinneganChevrolet,NULL
20208,160BayshoreCJDNonExpand,
20208,300x250BayshoreAS3,NULL
20208,ATT160x600,
20208,ATT300x250,
20208,BayshoreChryslerJeepDodge,NULL
20208,IBVBayshoreCJD,
20209,MinterAutoSales,NULL
20210,NorthwestChryslerJeepDodge,NULL
20211,160nonex,NULL
20211,IBV300,NULL
20211,StarToyota,NULL
